Serial_no,Date_of_Read,Author_of_book,Name_of_book,Year_Published,No_of_pages,Rating
383,01-09-1986,"E.M. Forster","Howard's End",1910,271,4
384,01-09-1986,"Gaston Bachelard","The Poetics of Space",1958,241,1
385,01-09-1986,"William Kennedy",Ironweed,1983,227,2
386,01-10-1986,Homer,"The Odyssey",700bc,365,1
387,01-10-1986,"James Joyce","Selected Letters, edited by Richard Ellman",1957,409,4
388,01-11-1986,"Moss Hart","Act One",1959,383,0
389,01-11-1986,"Vladimir Nabokov","The Enchanter",1939,95,5
390,01-11-1986,"Ralph Waldo Emerson","The Heart of Emerson's Journals, 1820-75",1875,338,1
391,01-12-1986,"Harold C. Schonberg","The Lives of the Great Composers",1970,627,5
392,01-12-1986,"David A. Stockman","The Triumph of Politics",1986,411,0
393,01-12-1986,"Stanislaus Joyce","The Dublin Diary of Stanislaus Joyce",1904,114,4
394,01-01-1987,"Thomas Hobbes",Leviathan,1651,729,3
395,01-02-1987,"Rainer Maria Rilke","Letters to Benvenuta",1914,87,3
396,01-02-1987,"Douglass H. Morse","Behavioral Mechanisms in Ecology",1980,320,2
397,01-04-1987,"Mark Twain and Charles Dudley Warner","The Gilded Age",1873,222,1
398,01-04-1987,"Arthur Power","Conversations with James Joyce",1974,111,2
399,01-05-1987,"Jacques Barzun","The Use and Abuse of Art",1974,150,0
400,01-05-1987,"V.S. Naipaul","Among the Believers (an Islamic Journey)",1980,430,0
401,01-05-1987,"Carrie Fisher","Postcards from the Edge",1987,218,1
402,01-06-1987,"Michel Montaigne",Essays,1580,406,5
403,01-06-1987,"Marcel Proust","Cities of the Plain",1913,378,5
404,01-06-1987,"Peter Gay","The Bourgeois Experience Education of the Senses",1984,460,0
405,01-06-1987,"Sigmund Freud","The Ego and the Id",1923,49,3
406,01-07-1987,"V.I. Lenin","Imperialism, The Highest Stage of Capitalism",1916,128,5
407,01-07-1987,"Larry McMurtry","Lonesome Dove",1985,945,5
408,01-07-1987,"A.J. Liebling","Between Meals",1959,185,4
409,01-07-1987,"Peter Fornatale & Joshua E. Mills","Radio in the Television Age",1980,196,5
410,01-07-1987,"Martin Amis","Einstein's Monsters",1987,149,0
411,01-07-1987,"Barry Lopez","Arctic Dreams",1986,372,2
412,01-07-1987,"Doris Lessing","The Golden Notebook",1962,666,0
413,01-08-1987,Various,"The Practical Cogitator, The Thinker's Anthology",1945,644,3
414,01-08-1987,"James Branch Cabell",Jurgen,1919,368,0
415,01-08-1987,"Heinrich Heine",Deutschland,1843,100,3
416,01-09-1987,"Max I. Dimont","Jews, God and History",1962,371,5
417,01-09-1987,"Jorge Luis Borges","An Introduction to American Literature",1967,90,5
418,01-09-1987,"Marco Polo","The Travels",1298,345,1
419,01-09-1987,"Martin Heidegger","Discourse on Thinking",1955,90,4
420,01-09-1987,"John A. Wilson","The Culture of Ancient Egypt",1951,318,1
421,01-10-1987,"Denis Diderot","Rameau's Nephew",1761,125,2
422,01-10-1987,"Rudyard Kipling","Just So Stories",1902,158,2
423,01-10-1987,"Peter Ladefoged","Elements of Acoustic Phonetics",1962,108,5
424,01-10-1987,"Friedrich Nietzche","A Nietzsche Reader",1880,284,1
425,01-10-1987,"Jane Austen","Mansfield Park",1814,464,3
426,01-10-1987,"C.P. Snow","The Two Cultures & A Second Look",1964,100,0
427,01-11-1987,"Mark Twain","Life on the Mississippi",1882,352,1
428,01-11-1987,"Zbigniew Brzezinski","Game Plan",1986,273,3
429,01-11-1987,"Honoré de Balzac","Ursule Mirouet",1841,266,0
430,01-11-1987,"Celia McEvedy","The Penguin Atlas of Ancient History",1967,92,0
431,01-11-1987,"Robert Roberts","The Classic Slum",1971,238,1
432,01-11-1987,Colette,"Break of Day",1928,117,1
433,01-11-1987,"André Malraux","Man's Fate",1934,338,1
434,01-11-1987,"Jean Racine",Andromache,1672,111,4
435,01-11-1987,"Roger Fisher, William Ury","Getting to Yes",1981,154,1
436,01-12-1987,"Ernst Cassirer","Language and Myth",1946,99,0
437,01-12-1987,"Mikhail Gorbachev",Perestroika,1987,254,5
438,01-01-1988,"Adin Steinsaltz","The Essential Talmud",1976,275,5
439,01-01-1988,"William Shakespeare","A Midsummer Night's Dream",1600,256,4
440,01-01-1988,Voltaire,"Letters on England",1733,145,4
441,01-01-1988,"Tom Wolfe","The Bonfire of the Vanities",1987,659,2
442,01-01-1988,"Beowulf Poet",Beowulf,800,115,1
443,01-01-1988,"P.G. Wodehouse","The Inimitable Jeeves",1924,224,0
444,01-02-1988,"Gene Lees","Singers and the Song",1987,257,0
445,01-02-1988,"Mark Twain","Tom Sawyer Abroad and Tom Sawyer Detective",1896,211,2
446,01-02-1988,"Fyodor Dostoevsky","Notes from the Underground",1864,158,2
447,01-03-1988,"Gretel Ehrlich","The Solace of Open Spaces",1985,131,0
448,01-03-1988,"Henry Fielding","Joseph Andrews",1742,298,5
449,01-04-1988,"George Holmes","The Later Middle Ages, 1272--1485",1962,260,1
450,01-04-1988,"David J. Garrow","The F.B.I. and Martin Luther King, Jr.",1981,227,5
451,01-04-1988,"George Eliot",Middlemarch,1872,908,0
452,01-05-1988,"John Dos Passos","The 42nd Parallel",1930,414,3
453,01-05-1988,Anonymous,"The Vinland Sagas",1250,105,1
454,01-05-1988,"Michael J. Malbin, ed.","Money and Politics in the United States",1984,270,5
455,01-05-1988,"Donald T. Regan","For the Record",1988,379,1
456,01-06-1988,"Benjamin Franklin","The Autobiography and other writings",1790,260,1
457,01-06-1988,"Elia Kazan","A Life",1988,825,4
458,01-06-1988,"Francis Parkman","The Oregon Trail",1849,286,0
459,01-07-1988,"Arthur Schopenhauer","The Art of Literature",1841,149,5
460,01-07-1988,"Gustave Flaubert",November,1842,132,3
461,01-07-1988,"Albert Einstein","Sidelights on Relativity",1921,56,0
462,01-07-1988,Confucius,"The Analects",500bc,160,0
463,01-07-1988,"Yasunari Kawabata","The Lake",1954,160,4
464,01-07-1988,"Marcel Proust","On Reading",1905,67,4
465,01-07-1988,"Richard Hofstadter",""The Paranoid Style in American Politics and Other Essays"""",1965,315,4
466,01-08-1988,collected," The Poet's Work",1977,294,4
467,01-08-1988,Seneca,"Epistulae Morales vol. 1",65,229,1
468,01-08-1988,"Vladimir Nabokov","The Portable Nabokov",1968,536,3
469,01-09-1988,Various," Quarrels that have Shaped the Constitution",1962,268,4
470,01-09-1988,"Jacques Barzun","A Word or Two Before You Go",1986,177,2
471,01-09-1988,"Anthony Trollope","Framely Parsonage",1860,563,3
473,01-11-1988,"Christopher Clapham","Third World Politics",1985,186,1
474,01-12-1988,"Richard Russo","The Risk Pool",1988,479,5
475,01-01-1989,"Charles Dickens","Bleak House",1853,975,4
476,01-01-1989,"P.P. Xahane","Ancient and Classical Art",1967,200,4
477,01-01-1989,"Charles Baudelaire","Paris Spleen",1869,108,0
478,01-02-1989,"Willa Cather","O Pioneers!",1913,309,0
479,01-02-1989,"Nadine Gordimer","The Late Bourgeois World",1966,95,0
480,01-02-1989,"Jean Corst","The Life of Birds, vol. 2",1971,338,3
481,01-03-1989,Voltaire,"Philosophical Dictionary",1764,400,4
482,01-03-1989,"John Stoye","Europe Unfolding 1648-1688",1969,399,3
483,01-03-1989,"E.L. Doctorow","Billy Bathgate",1989,323,2
484,01-04-1989,"Howard Hibbard",Bernini,1965,229,4
485,01-04-1989,"Yasuji Kirimura","Fundamentals of Buddhism",1977,210,4
486,01-04-1989,"Scott Buchanan","Poetry and Mathematics",1929,156,1
487,01-05-1989,"Gore Vidal",Lincoln,1984,657,5
488,01-05-1989,"Gabriel Garcia Marquez","Love in the Time of Cholera",1988,348,0
489,01-05-1989,Bible,"The Bible",1488,520,4
490,01-07-1989,"Brenda Maddox","Nora - The Real Life of Molly Bloom",1988,381,2
491,01-07-1989,"John Milton","Paradise Lost",1667,339,4
492,01-08-1989,"Sanche de Gramont","Epitaph for Kings",1969,428,3
493,01-08-1989,"Stephen W. Hawking","A Brief History of Time",1988,182,0
494,01-08-1989,"Wallace Stevens","The Necessary Angel",1951,176,4
495,01-09-1989,"edited by W.H. Auden","The Portable Greek Reader",1948,726,1
496,01-09-1989,"Honoré de Balzac","The Wild Ass's Skin",1831,285,4
497,01-09-1989,"Quentin Crisp","Manners from Heaven",1984,138,5
498,01-10-1989,"Sigmund Freud","Civilization and Its Discontents",1930,104,1
499,01-10-1989,"Michael Harrington","The Other America",1962,221,4
500,01-10-1989,"Art Garfunkel","Still Water - Prose Poems",1989,119,4
501,01-10-1989,"Umberto Eco","Art and Beauty in the Middle Ages",1959,119,3
502,01-10-1989,"Anton Chekhov","The Fiancée and other stories",1890,232,2
503,01-12-1989,"Theodore Dreiser","An American Tragedy",1925,828,0
504,01-12-1989,"Santoru Izumi","Guidelines to Faith",1980,160,2
505,01-12-1989,"Robert Louis Stevenson","Travels with a Donkey",1879,126,1
506,01-12-1989,"James D. Watson","The Double Helix",1968,231,1
507,01-12-1989,"Noam Chomsky, Edward S. Herman","Manufacturing Consent",1988,291,3
508,01-01-1990,"Anthony Trollope","An Autobiography",1883,367,1
509,01-01-1990,"Joseph Campbell (with Bill Moyers)","The Power of Myth",1988,231,4
510,01-02-1990,"Henry Miller","Quiet Days in Clichy",1940,154,4
511,01-02-1990,"Colin McEvedy","The Penguin Atlas of Modern History (to 1815)",1972,90,2
512,01-02-1990,"J.P. Kenyon","Stuart England",1978,355,5
513,01-02-1990,"Michel Foucault","The History of Sexuality vol. 1: An Introduction",1976,159,2
514,01-02-1990,"Virginia Woolf","Contemporary Writers",1920,160,3
515,01-02-1990,"William Shakespeare",""Henry V"""",1599,123,0
516,01-03-1990,"Honoré de Balzac","Lost Illusions",1843,682,4
517,01-03-1990,"Ian Frazier","Great Plains",1989,214,5
518,01-04-1990,Anonymous,"Tales from the Thousand and One Nights",850bc,407,5
519,01-07-1981,"Anne Rice","Interview With the Vampire",1976,346,2
520,01-05-1990,"Charles R. Morris","The Cost of Good Intentions",1980,240,2
521,01-06-1990,Various,"The Portable Renaissance Reader",1500,754,3
522,01-06-1990,"Jerrold Seigel","Bohemian Paris",1986,397,0
523,01-06-1990,"Paul Magriel, John T. Spike","A Connoisseur's Guide to the Met",1987,235,3
524,01-07-1990,"Mark Twain","The Innocents Abroad",1867,492,4
525,01-07-1990,"Sylvia Plath","The Bell Jar",1963,216,5
526,01-07-1990,"George F. Will","Men at Work",1990,330,4
527,01-07-1990,"Edith Hamilton",Mythology,1940,321,1
528,01-07-1990,"Ernest Hemingway","A Moveable Feast",1960,211,5
529,01-07-1990,"Edith Wharton","Ethan Frome",1911,133,5
530,01-08-1990,"J.F. Stone","The Trial of Socrates",1988,230,5
531,01-08-1990,"Daniel Bates, Amal Rassam","Peoples and Cultures of the Middle East",1983,283,2
533,01-09-1990,Tacitus,"The Histories",98,287,0
534,01-09-1990,"Carrie Fisher","Surrender the Pink",1990,281,1
535,01-09-1990,"John McPhee","Rising from the Plains",1986,214,2
536,01-09-1990,"George Eliot","The Lifted Veil",1879,91,5
537,01-11-1990,"Thomas Mann","The Magic Mountain",1927,716,1
538,01-11-1990,"Fredric Dannen","Hit Men",1990,327,2
539,01-11-1990,"The Koran","The Koran",610,435,0
540,01-01-1991,"Roderic Gorney","The Human Agenda",1968,575,5
541,01-02-1991,"William Thackeray","The History of Henry Esmond",1852,513,4
542,01-02-1991,"Rachel Carlson","Silent Spring",1962,297,2
543,01-02-1991,"Charles Grodin","It Would Be So Nice If You Weren't Here",1989,308,5
544,01-02-1991,"Will and Ariel Durant","The Story of Civilization VIII:",1963,74,2
545,01-02-1991,"Will and Ariel Durant","The Story of Civilization VIII: The Age of Louis XIV",1963,74,0
546,01-03-1991,"Margaret Mead","Coming of Age in Samoa",1928,197,2
547,01-03-1991,"Thomas L. Friedman","From Beirut to Jerusalem",1989,525,0
548,01-04-1991,"Daphne du Maurier","Jamaica Inn",1936,247,0
549,01-04-1991,"Daisaku Ikeda","The Creative Family",1977,159,0
550,01-04-1991,"Marcus Aurelius","The Meditations",177,129,4
551,01-05-1991,"Thomas Szasz","Ceremonial Chemistry",1974,170,5
552,01-05-1991,"Marcel Proust","The Captive",1921,289,2
553,01-05-1991,"Thomas Hardy","Under the Greenwood Tree",1872,241,1
554,01-06-1991,"Arthur Koestler","Darkness at Noon",1940,216,4
555,01-06-1991,"Herbert Marcuse","Eros and Civilization",1955,274,1
556,01-07-1991,"edited by F. Stephen Larrabee","The Two German States and European Security",1988,307,2
557,01-07-1991,"Marc Bloch","Feudal Society, vol. 2",1961,170,4
558,01-08-1991,"Oscar Hijuelos","The Mambo Kings Play Songs of Love",1989,407,0
559,01-09-1991,"Jim Harrison",Dalva,1988,324,2
560,01-10-1991,"William Pfaff","Barbarian Sentiments",1989,189,0
561,01-10-1991,"Madame de Lafayette","The Princess of Cleves",1678,168,1
562,01-11-1991,"John Updike","Rabbit, Run",1960,249,4
563,01-11-1991,"Paul Fussell",Bad,1991,201,3
564,01-11-1991,"William Styron","The Confessions of Nat Turner",1966,429,4
565,01-11-1991,"Sigmund Freud","The Future of an Illusion",1927,81,3
566,01-11-1991,"A.R. Myers","England in the Late Middle Ages",1952,262,3
567,01-11-1991,"Paul Hohenberg, Lynn Hollen Lees","The Making of Urban Europe 1000--1950",1985,340,3
568,01-12-1991,"Leonardo Da Vinci","The Notebooks of Leonardo Da Vinci",1490,392,5
569,01-12-1991,"Joseph Morella, Patricia Barey","Simon and Garfunkel",1991,252,0
570,01-12-1991,"Sun Tzu","The Art of War",400bc,149,4
571,01-12-1991,"Aleksandr Solzhenitsyn","Rebuilding Russia",1990,106,1
572,01-01-1992,"H.G. Wells","A Short History of the World",1922,357,4
573,01-01-1992,"Baroness Orczy","The Scarlet Pimpernel",1905,248,0
574,01-02-1992,"H.L. Mencken","The Vintage Mencken",1933,246,4
575,01-02-1992,"Robert Louis Stevenson","Dr. Jekyll and Mr. Hyde",1886,114,3
576,01-02-1992,"William Julius Wilson","The Truly Disadvantaged",1987,164,5
577,01-02-1992,"Swami Prabhavananda","The Sermon on the Mount according to Vendanta",1963,126,0
578,01-03-1992,"Sigmund Freud","An Outline of Psycho-Analysis",1938,64,5
579,01-03-1992,"Edgar Allan Poe","The Narrative of Arthur Gordon Pym",1938,220,0
580,01-03-1992,"Andreas Capellanus","The Art of Courtly Love",1180,59,1
581,01-03-1992,"William Faulkner","The Sound and the Fury",1931,284,4
582,01-04-1992,"Nathaniel Hawthorne","The House of the Seven Gables",1851,245,1
583,01-04-1992,"Edmund Burke","Reflections on the Revolution in France",1790,290,1
585,01-04-1992,"William Shakespeare",""The Trajedy of Julius Caesar"""",1599,102,1
586,01-04-1992,"Donald L. Barlett, James B. Steele","America: What Went Wrong?",1992,219,0
587,01-06-1992,"Emil Ludwig","The Nile",1936,603,1
588,01-06-1992,"Patrick J. Geary","Before France & Germany",1988,231,0
589,01-06-1992,"Denis Diderot","The Nun",1760,188,3
590,01-07-1992,"Richard Selzer","Mortal Lessons - Notes on the Art of Surgery",1974,217,2
591,01-07-1992,"Ben H. Bagdikian","The Media Monopoly",1983,251,0
592,01-07-1992,"Cyril Aldred","Egyptian Art",1980,240,2
593,01-07-1992,"Nathaniel Hawthorne","The Blithedale Romance",1852,247,3
594,01-07-1992,"Ben Weider, David Hapgood","The Murder of Napoleon",1982,257,1
595,01-08-1992,"Elie Wiesel","A Jew Today",1978,247,3
596,01-09-2022,Livy,"Rome and the Mediterranean",17,654,3
597,01-09-1992,"Oliver Sacks","The Man Who Mistook His Wife for a Hat",1985,233,4
598,01-11-1992,"Dorothy Parker","The Portable Dorothy Parker",1962,535,2
599,01-12-1992,"Immanuel Kant","The Doctrine of Virtue",1797,167,2
600,01-12-1992,"Alec Wilder","American Popular Song",1972,519,1
601,01-12-1992,"Lawrence Shainberg","Brain Surgeon",1979,316,1
602,01-12-1992,"Lord Chesterfield",Letters,1772,464,5
603,01-12-1992,"Camille Paglia","Sex, Art, and American Culture",1992,287,1
604,01-01-1993,"George Eliot","Silas Marner",1861,190,4
605,01-02-1993,"Harry Crews",Body,1990,240,4
606,01-02-1993,"Hermann Hesse",Demian,1919,179,5
607,01-02-1993,"Jean Piaget","Six Psychological Studies",1964,157,1
608,01-02-1993,"William Faulkner","Absalom, Absalom!",1936,306,2
609,01-03-1993,"David King Dunaway","Huxley in Hollywood",1989,402,3
610,01-03-1993,"Evelyn Waugh","Brideshead Revisited",1945,331,5
611,01-03-1993,Unknown,"anthology: The European Security Framework in Transition 1984-92",1992,172,1
612,01-03-1993,"Jess Stein","The Random House Dictionary of the English Language",1983,1664,4
613,01-03-1993,"Sigmund Freud","On Dreams",1901,114,4
614,01-03-1993,"Ernest Hemingway","Green Hills of Africa",1935,295,2
615,01-04-1993,"Bruce Chatwin","On the Black Hill",1982,249,1
616,01-04-1993,"K.J. Dover","Greek Homosexuality",1978,206,1
617,01-04-1993,"David Thomson","England in the Twentieth Century",1965,362,2
618,01-05-1993,"Virginia Woolf","To the Lighthouse",1927,310,1
619,01-05-1993,"Jacques Barzun","The Culture We Deserve",1989,183,5
620,01-06-1993,"Allan Gurganus","White People",1990,305,2
621,01-06-1993,"Stanley Coren","The Left-Hander Syndrome",1992,281,5
622,01-07-1993,"Leo Tolstoy","The Forged Coupon",1904,99,2
623,01-07-1993,"Cristina Garcia","Dreaming in Cuban",1992,245,4
624,01-07-1993,"Honoré de Balzac","Cousin Pons",1847,334,0
625,01-07-1993,"Mark Green","Who Runs Congress?",1972,318,2
626,01-08-1993,"Thomas Kessner","The Golden Door",1977,177,5
627,01-08-1993,"Don DeLillo","White Noise",1984,326,1
628,01-08-1993,"John Stuart Mill",Utilitarianism,1861,79,1
629,01-10-1993,"Rudyand Kipling",Kim,1901,270,1
630,01-10-1993,"Alan Lightman","Einstein's Dreams",1993,179,2
631,01-11-1993,"Jules Michelet","Joan of Arc",1841,143,4
632,01-11-1993,Plato,"Early Socratic Dialogues",327bc,375,5
633,01-12-1993,"Erich Fromm","Escape from Freedom",1941,303,2
634,01-12-1993,"V.S. Pritchett","The Offensive Traveller",1964,241,3
635,01-12-1993,"Peter B. High","An Outline of American Literature",1986,241,4
636,01-12-1993,"Susan Sontag","AIDS and Its Metaphors",1988,95,1
637,01-12-1993,"Françoise Sagan","Bonjour Tristesse",1954,108,0
638,01-12-1993,"Sherwood Anderson","Winesburg, Ohio",1919,247,1
639,01-12-1993,"Flannery O'Connor","Mystery and Manners",1969,228,5
640,01-12-1993,"Henry James","The Turn of the Screw",1898,160,4
641,01-12-1993,"Thornton Wilder","The Cabala",1926,230,0
642,01-12-1993,"Donald Matthew","Atlas of Medieval Europe",1983,225,2
643,01-01-1994,"Jane Smiley","A Thousand Acres",1991,371,3
644,01-02-1994,"Patrick Moore","Basic Astronomy",1967,134,3
645,01-02-1994,"Henry Adams","Mont Saint Michael and Chartres",1904,359,5
646,01-03-1994,"Emile Zola",Germinal,1885,538,1
647,01-03-1994,"Charles Baudelaire","The Prose Poems and La Fanfarlo",1865,116,3
648,01-04-1994,"Charles Dickens","The Old Curiosity Shop",1841,720,1
649,01-04-1994,"Carrie Fisher","Delusions of Grandma",1994,260,3
650,01-04-1994,"Laurence Sterne","A Sentimental Journey",1768,120,3
651,01-05-1994,"Franz Kafka","The Trial",1920,256,2
652,01-05-1994,"Thomas DeQuincy","Confessions of an English Opium Eater",1822,116,4
653,01-05-1994,"Natalie Goldberg","Writing Down the Bones",1986,170,0
654,01-05-1994,"Daniel Defoe","A Journal of the Plague Year",1725,256,0
655,01-05-1994,"Jean Rhys","After Leaving Mr. Mackenzie",1931,191,0
656,01-06-1994,"Marcel Proust","The Sweet Cheat Gone",1922,196,4
657,01-06-1994,"Dorothy Whitelock","The Beginnings of English Society",1952,243,3
658,01-07-1994,"David Rabe",""Hurlyburly"""",1985,160,5
659,01-08-1994,"Henry Kissinger",Diplomacy,1994,835,1
660,01-09-1994,"Bruce Chatwin","The Songlines",1987,294,5
661,01-09-1994,"Gary Zukav","The Seat of the Soul",1989,248,2
662,01-10-1994,"Ernest Becker","The Denial of Death",1973,285,3
663,01-10-1994,"Laurence Sterne","The Life and Opinions of Tristam Shandy",1767,539,3
664,01-10-1994,"Sinclair Lewis",Babbitt,1922,334,3
665,01-12-1994,"John King Fairbank","China - A New History",1992,432,4
666,01-12-1994,"Toni Morrison",Beloved,1987,275,4
667,01-12-1994,"Franz Kafka",Amerika,1927,312,0
668,01-12-1994,"Arnold Toynbee & Daisaku Ikeda","Choose Life",1976,359,5
669,01-12-1994,"Sherwin B. Nuland","How We Die",1994,269,4
670,01-12-1994,"H.B. Acton","Kant's Moral Philosophy",1970,65,5
671,01-12-1994,"Jack London","The Call of the Wild",1903,89,4
672,01-12-1994,"Gustav Janouch","Conversations with Kafka",1923,201,4
673,01-01-1995,"Samuel Butler","The Way of All Flesh",1903,444,1
674,01-02-1995,"Meriwether Lewis and William Clark","The Journals of Lewis and Clark",1804,515,0
675,01-02-1995,"Peter Kwong","The New Chinatown",1987,187,5
676,01-02-1995,"Fyodor Dostoyevsky","The Devils",1871,704,1
677,01-03-1995,"Selma H. Fraiberg","The Magic Years",1959,151,4
678,01-03-1995,"Sol M. Linowitz","The Making of a Public Man",1985,247,3
679,01-04-1995,Stendhal,"The Red and the Black",1830,574,3
680,01-04-1995,"J.H. Plumb","England in the Eighteenth Century",1950,214,5
681,01-04-1995,"P.D. Ouspensky","The Psychology of Man's Possible Evolution",1934,128,4
682,01-07-1995,"Carson McCullers","The Heart is a Lonely Hunter",1940,307,5
683,01-07-1995,"Joyce Carol Oates","Black Water",1992,154,4
684,01-07-1995,"editor, Eric L. McKitrick","Slavery Defended",1857,177,0
685,01-07-1995,"Don, Jeanne Elium","Raising a Son",1992,172,5
686,01-08-1995,"Patrick O'Brian","Master and Commander",1970,412,2
687,01-09-1995,"Russell Banks","Continental Drift",1985,366,4
688,01-09-1995,Vyasa,"The Bhagavad Gita",500bc,122,5
689,01-10-1995,"Thomas More",Utopia,1516,147,3
690,01-11-1995,"E.L. Doctorow",Ragtime,1975,371,3
691,01-11-1995,"Martin Heidegger","Early Greek Thinking",1950,58,5
692,01-11-1995,"Alice Miller","The Drama of the Gifted Child",1979,136,3
693,01-12-1995,"Daniel Goleman","Emotional Intelligence",1995,292,3
694,01-12-1995,"Benedict de Spinoza","The Ethics",1663,290,4
695,01-12-1995,"Betty Radice","Who's Who in the Ancient World",1971,161,1
696,01-12-1995,"Alexander Hamilton and James Madison","The Federalist Papers",1788,487,4
697,01-01-1996,"Nathan Glazer and Daniel P. Moynihan","Beyond the Melting Pot",1963,408,5
698,01-01-1996,"Louise Ames","Your Five-Year Old",1979,109,3
699,01-01-1996,"Daniel Defoe","Robinson Crusoe",1719,314,0
700,01-02-1996,"Abul A'La Mawdudi","Towards Understanding Islam",1986,132,5
701,01-02-1996,"Stephen Crane","The Red Badge of Courage",1895,169,3
702,01-02-1996,Various,"Latin Literature - an Anthology",400,456,1
703,01-02-1996,"James Boswell","The Life of Samuel Johnson",1791,342,4
704,01-03-1996,"Robert D. Kaplan","Balkan Ghosts",1993,300,2
705,01-03-1996,anonymous,"Primary Colors",1996,366,5
707,01-03-1996,"Russell Baker","Growing Up",1982,348,3
708,01-03-1996,"Gustave Flaubert","Flaubert in Egypt",1850,222,2
709,01-04-1996,"Robin, Liza, Linda, Tiffany","You'll Never Make Love in this Town Again",1996,251,4
710,01-04-1996,"Robert Graves","I, Claudius",1934,468,0
711,01-04-1996,"Stephen Birmingham",""Our Crowd"""",1967,446,5
712,01-06-1996,"Peter I. Pressman and Yahsar Hirshaut","Breast Cancer",1992,265,5
713,01-07-1996,"Lester C. Thurow","The Future of Capitalism",1996,327,1
714,01-07-1996,"Honoré de Balzac","A Murky Business",1841,223,1
715,01-07-1996,"Blaise Pascal",Pensées,1661,204,5
716,01-08-1996,"Deepak Chopra","Quantum Healing",1989,273,3
717,01-08-1996,"Maxim Gorky","My Childhood",1913,451,3
718,01-08-1996,"Paul Theroux","Riding the Iron Rooster",1988,188,5
719,01-08-1996,"René Descartes","Discourse on Method and The Meditations",1637,188,4
720,01-08-1996,"Deborah Tannen","You Just Don't Understand",1990,298,2
721,01-09-1996,"Pliny the Elder","Natural History",76,385,3
722,01-09-1996,"James Clavell",Shogun,1975,1152,0
723,01-10-1996,Xenophon,"Conversations with Socrates",401bc,359,3
724,01-12-1996,"Michael Herr",Dispatches,1978,278,0
725,01-12-1996,"H.G. Wells","The Invisible Man",1897,139,1
726,01-01-1997,"David Baldacci","Absolute Power",1996,505,5
727,01-03-1997,"Simone DeBeauvoir","The Second Sex",1952,732,4
728,01-04-1997,"Henry Fielding, Daniel Defoe","Jonathan Wild",1743,290,3
729,01-04-1997,"Mary Karr","The Liars' Club",1995,320,4
730,01-04-1997,"Robin Dunbar","Grooming, Gossip, and the Evolution of Language",1996,230,3
731,01-05-1997,"G.K. Chesterton","The Club of Queer Trades",1905,126,2
732,01-05-1997,"Bryce Lyon","The Origins of the Middle Ages",1972,87,1
733,01-05-1997,"Antoine de Saint Exupery","Night Flight",1932,87,3
734,01-06-1997,"Charles and Mary Lamb","Tales from Shakespeare",1807,313,1
735,01-06-1997,"Sir Thomas Malory","Le Morte D'Arthur, vol. 1 book I-VII",1485,327,1
736,01-06-1997,"Alcoholics Anonymous","Twelve Steps and Twelve Traditions",1952,192,4
737,01-07-1997,"Don DeLillo","Mao II",1991,241,2
738,01-07-1997,"Jules Verne","Around the World in Eighty Days",1873,163,0
739,01-08-1997,"Daniel Johan Goldhagen","Hitler's Willing Executioners",1996,466,5
740,01-07-1997,"Peter Gay","The Enlightenment - The Science of Freedom",1969,568,2
741,01-08-1997,"Harry Crews","A Feast of Snakes",1976,177,1
742,01-09-1997,"Jean-Jacques Rousseau",Émile,1760,568,5
743,01-09-1997,"Hermann Hesse","Narcissus and Goldmund",1930,312,5
744,01-10-1997,"Aristotle, Horace","Classical Literary Criticism",10bc,80,0
745,01-10-1997,"Ernest Hemingway","Fiesta, The Sun Also Rises",1927,206,2
746,01-10-1997,"Keith B. Richburg","Cut of America",1997,254,1
747,01-11-1997,"Lincoln Steffens","The Shame of the Cities",1904,222,1
748,01-11-1997,"Choderlos DeLaclos","Les Liaisons Dangereuses",1782,412,2
749,01-12-1997,"Jonathan Harr","A Civil Action",1995,496,2
750,01-12-1997,"Harper Lee","To Kill a Mockingbird",1960,281,4
751,01-12-1997,"David Denby","Great Books",1996,463,3
752,01-01-1998,"Garrison Keillor","Lake Wobegon Days",1985,341,2
753,01-01-1998,"Barry Miles","Paul McCartney - Many Years from Now",1997,617,2
754,01-01-1998,Horace,"Satires and Epistles",18bc,179,1
755,01-03-1998,"E. Annie Proulx","The Shipping News",1993,337,3
756,01-03-1998,"Allan Bloom","The Closing of the American Mind",1987,382,1
757,01-03-1998,"Niccolò Machiavelli","The Prince",1514,96,0
758,01-04-1998,"Alexis De Tocqueville","Democracy in America",1835,317,0
759,01-04-1998,"Frank McCourt","Angela's Ashes",1996,426,5
760,01-04-1998,"Susanna Moore","my old sweetheart",1982,211,3
761,01-04-1998,"Robert Hughes","Culture of Complaint",1993,204,5
762,01-05-1998,"Patrick Suskind",Perfume,1985,263,1
763,01-05-1998,"Victoria Kingston","Simon and Garfunkel - The Definitive Biography",1996,287,1
764,01-05-1998,"John Locke","The Second Treatise of Government",1690,155,0
765,01-05-1998,Plato,Phaedrus,375bc,48,0
766,01-06-1998,"Charles Dickens","Barnaby Rudge",1841,766,2
767,01-06-1998,"Philip Roth","Zuckerman Unbound",1981,156,5
768,01-06-1998,"Jeffrey Archer","A Twist in the Tale - 4 short stories",1988,113,4
769,01-07-1998,"S.T. Bindoff","Tudor England",1950,309,3
770,01-07-1998,"John O'Hara","Appointment in Samarra",1934,240,1
771,01-08-1998,"Ralph Ellison","Invisible Man",1952,469,1
